@relation test

@attribute id numeric
@attribute EducationAttainment {MBA,Masters}
@attribute CourseCompletionYear numeric
@attribute CourseGPA numeric
@attribute Course_Information {MSIT,MSPPM,MISM,BIDA,MSCS}
@attribute PG_UG {Postgraduate,Undergraduate}
@attribute FieldOfEducation {Commerce,Arts,Science}
@attribute country {India}
@attribute BasisOfAdmission {GMAT,GRE}
@attribute Age numeric
@attribute Gender {Male,Female}
@attribute Citizenship {India}
@attribute LocationOfTermResidence {Pittsburgh}
@attribute LocationOfPermenantResidence {India}
@attribute TypeOfAttendance {'Part Time','Full Time'}
@attribute ModeOfAttendance {external,internal,multi-modal}
@attribute CountryOfBirth {India}
@attribute 'Language ' {Hindi}
@attribute YearOfArrival numeric
@attribute GRE numeric
@attribute GMAT numeric
@attribute SAT numeric
@attribute EquityData {Regional/Remote,Disability,low-income,'Women in non-traditional areas'}
@attribute Salary string

@data
5000,MBA,2015,3.22,MSIT,Undergraduate,Commerce,India,GMAT,27,Male,India,Pittsburgh,India,'Part Time',external,India,Hindi,2013,0,754,0,Regional/Remote,?
5001,Masters,2009,3.22,MSPPM,Undergraduate,Commerce,India,GRE,33,Female,India,Pittsburgh,India,'Part Time',external,India,Hindi,2005,329,0,0,Disability,?
5002,Masters,2009,3.65,MSPPM,Undergraduate,Arts,India,GRE,21,Male,India,Pittsburgh,India,'Part Time',internal,India,Hindi,2011,338,0,0,low-income,?
5003,Masters,2008,3.02,MISM,Undergraduate,Commerce,India,GRE,26,Female,India,Pittsburgh,India,'Part Time',external,India,Hindi,2005,327,0,0,'Women in non-traditional areas',?
5004,Masters,2015,3.7,BIDA,Undergraduate,Commerce,India,GRE,35,Female,India,Pittsburgh,India,'Full Time',multi-modal,India,Hindi,2005,340,0,0,Regional/Remote,?
5005,MBA,2006,4.12,MSCS,Undergraduate,Arts,India,GMAT,21,Male,India,Pittsburgh,India,'Full Time',internal,India,Hindi,2014,0,765,0,Disability,?
5006,MBA,2012,3.26,MISM,Postgraduate,Commerce,India,GMAT,29,Female,India,Pittsburgh,India,'Part Time',external,India,Hindi,2005,0,755,0,low-income,?
5007,MBA,2015,3.85,MISM,Undergraduate,Science,India,GMAT,38,Male,India,Pittsburgh,India,'Full Time',internal,India,Hindi,2007,0,707,0,'Women in non-traditional areas',?
5008,MBA,2008,3.23,MISM,Postgraduate,Science,India,GMAT,27,Female,India,Pittsburgh,India,'Full Time',internal,India,Hindi,2013,0,728,0,Regional/Remote,?
5009,Masters,2013,3.14,MSIT,Undergraduate,Arts,India,GRE,34,Female,India,Pittsburgh,India,'Part Time',internal,India,Hindi,2007,336,0,0,Disability,?
